File Name,Sentiment,Support Count,Oppose Count,Mixed Count,Reasons for Support,Reasons for Oppose,Prediction
03-15-2011audio_03ZA09-1836.txt,Supportive,46,10,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-02-08audio_CPC06-8043.txt,Supportive,30,14,1,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-10-2017audio_10TT-74883-CN-1A.txt,Supportive,6,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
6-28-16audio_5ZA-2015-1231-ELD.txt,Supportive,22,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
01-22-2013audio_05CPC11-2103.txt,Supportive,43,8,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-8-16audio_5a-5dConsentCalendar.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
04-09-09audio_08CPC08-4987.txt,Supportive,43,25,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-17-2011audio_02CPC11-1090.txt,Supportive,48,12,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-09-17audio_7VTT-73981and8CPC-2016-341.txt,Unclear,0,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
06-09-2011audio_08DIR09-2065.txt,Supportive,16,14,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-25-2011audio_05DIR11-1024.txt,Unclear,16,16,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Unclear
01-19-11audio_04APCW10-2130.txt,Supportive,40,12,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-07-2017audio_6AA-2014-3308.txt,Supportive,38,18,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
07-13-2017audio_9CPC-2014-4901.txt,Supportive,18,6,6,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-02-09audio_02APCW09-2166.txt,Supportive,5,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
05-25-2017audio_8CPC-2016-2363.txt,Supportive,32,0,8,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
